# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4558
#@/user_id	264d1fbf-0cd3-4191-8dba-a79a7265bcfc
dgt 	厂	c=3 d=1.44471 t=5858
dgud 	石头	c=2 d=1 t=4535
dgya 	硬度	c=1 d=1 t=5869
dhc 	破	c=4 d=1.71414 t=4755
dhgd 	夏天	c=1 d=1 t=2472
dian 	耟	c=1 d=1 t=1699
dj 	百	c=2 d=1.89583 t=4529
djd 	非	c=7 d=1.42923 t=6059
dk 	右	c=2 d=1 t=7221
dm 	面	c=27 d=2.13787 t=5111
dmeg 	而且	c=13 d=1.17864 t=5832
dmh 	布	c=1 d=1 t=6892
dmj 	而	c=1 d=1 t=5989
dmnn 	而已	c=2 d=1.13807 t=4435
dmrn 	厕所	c=1 d=1 t=4788
dmu 	页	c=1 d=1 t=6122
dn 	成	c=6 d=1.00833 t=5855
dnft 	成都	c=1 d=1.06079 t=3494
dnv 	万	c=5 d=2.26171 t=4912
do 	灰	c=1 d=1 t=6839
dqpu 	确实	c=2 d=1.09926 t=1450
dqq 	爽	c=1 d=1 t=115
dqyw 	确认	c=1 d=1 t=5799
dr 	原	c=1 d=1 t=5392
dri 	原	c=4 d=1.10257 t=4404
drld 	原因	c=2 d=1.00002 t=4461
drsg 	原本	c=1 d=1.01393 t=5393
druj 	愿意	c=2 d=1 t=3628
dsnc 	奇怪	c=2 d=1 t=5310
dt 	帮	c=1 d=1 t=1004
duo 	碰	c=4 d=1.53537 t=5257
dx 	龙	c=18 d=3.38272 t=6046
dy 	太	c=11 d=1.48041 t=6551
dybj 	太阳	c=1 d=1 t=1983
e 	有	c=151 d=9.16813 t=5530
ebtl 	服务	c=1 d=1 t=2706
ee 	朋	c=4 d=3.73966 t=5908
eedc 	朋友	c=1 d=0.375339 t=5909
eee 	月	c=6 d=1.99526 t=5666
efcb 	脚	c=3 d=1.97248 t=2015
efet 	膨胀	c=2 d=1.86071 t=4996
egc 	县	c=1 d=1 t=5434
egrt 	助手	c=1 d=1 t=4555
ekh 	肿	c=1 d=1 t=2077
emai 	股东	c=4 d=1.03878 t=5823
emc 	股	c=2 d=1.01278 t=6051
en 	甩	c=1 d=1 t=35
ep 	爱	c=11 d=3.9152 t=4607
epc 	受	c=2 d=1.36059 t=5776
eq 	胸	c=1 d=1 t=6494
esv 	腰	c=1 d=1 t=6414
et 	用	c=60 d=1.38881 t=5839
etth 	用处	c=1 d=1 t=7062
euf 	胖	c=1 d=1 t=5759
eutf 	脱毛	c=1 d=1 t=5936
eve 	腿	c=3 d=1.05034 t=5226
evep 	腿	c=2 d=1.00108 t=5223
ewg 	脸	c=2 d=1 t=3253
ey 	及	c=6 d=1.14687 t=5933
eyb 	脑	c=1 d=1 t=4350
eybb 	脑子	c=4 d=2.2117 t=5063
f 	地	c=10 d=2.58017 t=5185
fa 	载	c=1 d=1 t=3537
fanu 	截屏	c=1 d=1 t=4539
fapg 	裁定	c=1 d=1 t=6009
fb 	地	c=1 d=1 t=204
fbfa 	地域	c=1 d=1 t=3521
fbfh 	地址	c=1 d=1 t=3082
fbqr 	地铁	c=1 d=1 t=36
fcb 	却	c=3 d=1.26618 t=5955
fcfc 	运动	c=2 d=1.00277 t=1951
fcl 	动	c=5 d=1 t=7168
fclk 	支架	c=1 d=1 t=4604
fcrf 	支持	c=1 d=1 t=2709
fctf 	运行	c=1 d=1 t=6913
fcu 	云	c=1 d=1 t=626
fcu 	去	c=128 d=6.22012 t=4558
fcut 	动产	c=1 d=1 t=5283
fcwf 	支付	c=2 d=1 t=5619
fcwt 	动作	c=1 d=1 t=2065
fcxj 	运费	c=1 d=1 t=1214
fd 	城	c=1 d=1 t=5742
fdn 	城	c=4 d=1.53855 t=5022
fffb 	土地	c=4 d=1.96139 t=5846
ffff 	土	c=1 d=1 t=5809
fffy 	封	c=1 d=1 t=5307
ffh 	填	c=1 d=1 t=5609
ffi 	款	c=1 d=1 t=6688
fftj 	堵	c=1 d=1 t=5220
ffuk 	墙	c=1 d=1 t=5714
fg 	二	c=15 d=1.00368 t=7135
fge 	博	c=5 d=3.19233 t=5428
fggh 	干	c=4 d=1.00004 t=3589
fgky 	干咳	c=2 d=1.08374 t=4505
fgrt 	二手	c=1 d=0.137068 t=5002
fguq 	干净	c=3 d=1.00003 t=4831
fh 	直	c=6 d=2.14183 t=4498
fha 	越	c=4 d=3.95047 t=4489
fhap 	直营	c=1 d=1 t=6778
fhdc 	起码	c=1 d=1 t=5003
fhhi 	起步	c=2 d=1.00003 t=4497
fhik 	趟	c=2 d=1 t=3056
fhn 	起	c=20 d=1.01141 t=7122
fhrt 	直播	c=6 d=1.02757 t=5559
fhru 	直接	c=12 d=1.71454 t=5916
fhsf 	超标	c=1 d=1 t=4379
fhu 	走	c=4 d=1.66365 t=5540
fhvk 	超	c=1 d=1 t=6022
fhw 	真	c=19 d=2.27716 t=4564
fhwf 	超值	c=1 d=1 t=3063
fhwm 	颠	c=1 d=1 t=1700
fhxe 	超级	c=1 d=1 t=5479
fhyi 	赴京	c=1 d=1 t=6375
fhym 	超市	c=2 d=1.00206 t=2307
fhyr 	起诉	c=1 d=1 t=5661
fhys 	起床	c=1 d=1 t=6376
fii 	未	c=1 d=1 t=5821
fiy 	求	c=3 d=1.00625 t=4758
fj 	进	c=12 d=2.25199 t=5543
fjlg 	韩国	c=2 d=1.89583 t=6100
fjtf 	进行	c=2 d=1 t=6170
fjya 	进度	c=1 d=1 t=5965
fjyi 	进京	c=1 d=1.1 t=5180
fkca 	鼓劲	c=1 d=1 t=4448
fkcq 	喜欢	c=6 d=2.7093 t=4717
